createdAt,committedVolume,actualProduction,begInventory,totalStock,soldAmount,unsold,consumerId,producerId
01/01/2016,3300000,2204443,4365552,6569995,848772,5721223,2024000100,2024000010
01/02/2016,3300000,1972635,5721223,7693858,2523901,5169957,2024000100,2024000010
01/03/2016,3300000,2138980,5169957,7308937,3260458,4048479,2024000100,2024000010
01/04/2016,3300000,2154508,4048479,6202987,3588507,2614480,2024000100,2024000010
01/05/2016,3300000,2136824,2614480,4751304,3156404,1594900,2024000100,2024000010
01/06/2016,3300000,2093802,1594900,3688702,2819020,869682,2024000100,2024000010
01/07/2016,3300000,2044474,869682,2914156,1883651,1030505,2024000100,2024000010
01/08/2016,3300000,1834625,1030505,2865130,1863356,1001774,2024000100,2024000010
01/09/2016,3300000,2763567,1001774,3765341,1957393,1807948,2024000100,2024000010
01/10/2016,3000000,2796114,1807948,4604062,3347311,1256751,2024000100,2024000010
01/11/2016,3000000,2865820,1256751,4122571,2284879,1837692,2024000100,2024000010
01/12/2016,3000000,1285609,1837692,3123301,2323806,799495,2024000100,2024000010
01/01/2017,3300000,1251629,799495,2051124,1512332,538792,2024000100,2024000010
01/02/2017,3300000,1753991,538792,2292783,1326507,966276,2024000100,2024000010
01/03/2017,3300000,2562979,966276,3529255,2357917,1171338,2024000100,2024000010
01/04/2017,2000000,2370274,1171338,3541612,2312762,1228850,2024000100,2024000010
01/05/2017,3300000,3376986,1228850,4605836,2426680,2179156,2024000100,2024000010
01/06/2017,3300000,3467701,2179156,5646857,3158042,2488815,2024000100,2024000010
01/07/2017,3300000,2944971,2488815,5433786,3025858,2407928,2024000100,2024000010
01/08/2017,3300000,3307350,2407928,5715278,3159026,2556252,2024000100,2024000010
01/09/2017,3300000,2937896,2556252,5494148,3451709,2042439,2024000100,2024000010
01/10/2017,3300000,3219160,2042439,5261599,2410730,2850869,2024000100,2024000010
01/11/2017,3300000,2972425,2850869,5823294,2109267,3714027,2024000100,2024000010
01/12/2017,3300000,2046265,3714027,5760292,3409636,2350656,2024000100,2024000010
01/01/2018,3300000,1711453,2350656,4062109,1422617,2639492,2024000100,2024000010
01/02/2018,3300000,2831780,2639492,5471272,3406916,2064356,2024000100,2024000010
01/03/2018,3300000,2764057,2064356,4828413,1729410,3099003,2024000100,2024000010
01/04/2018,3300000,1812275,3099003,4911278,1459999,3451279,2024000100,2024000010
01/05/2018,3300000,2942145,3451279,6393424,1430622,4962802,2024000100,2024000010
01/06/2018,3300000,248662,4962802,5211464,489343,4722121,2024000100,2024000010
01/07/2018,3300000,0,4722121,4722121,698097,4024024,2024000100,2024000010
01/08/2018,3300000,1200000,4024024,5224024,1646036,3577988,2024000100,2024000010
01/09/2018,3300000,3453643,3577988,7031631,3022049,4009582,2024000100,2024000010
01/10/2018,8262802,3654854,4009582,7664436,3707482,3956954,2024000100,2024000010
01/11/2018,3300000,2454333,3956954,6411287,2438162,3973125,2024000100,2024000010
01/12/2018,3300000,2135879,3973125,6109004,4161686,1947318,2024000100,2024000010
01/01/2019,3000000,2638245,1947318,4585563,2635981,1949582,2024000100,2024000010
01/02/2019,3000000,1853200,1949582,3802782,2437257,1365525,2024000100,2024000010
01/03/2019,3000000,0,1365525,1365525,1321177,44348,2024000100,2024000010
01/04/2019,3000000,0,44348,44348,3921,40427,2024000100,2024000010
01/05/2019,3000000,0,40427,40427,0,40427,2024000100,2024000010
01/06/2019,3000000,0,40427,40427,0,40427,2024000100,2024000010
01/07/2019,1500000,0,40427,40427,0,40427,2024000100,2024000010
01/08/2019,1500000,2422877,40427,2463304,1381963,1081341,2024000100,2024000010
01/09/2019,1500000,2322965,1081341,3404306,2773832,630474,2024000100,2024000010
01/10/2019,1500000,2434198,630474,3064672,2303812,760860,2024000100,2024000010
01/11/2019,1500000,2679849,760860,3440709,2129125,1311584,2024000100,2024000010
01/12/2019,1500000,706172,1311584,2017756,1861170,156586,2024000100,2024000010
01/01/2020,3000000,1989822,156586,2146408,1420993,725415,2024000100,2024000010
01/02/2020,3000000,2826921,725415,3552336,3078433,473903,2024000100,2024000010
01/03/2020,3000000,1557559,473903,2031462,1533334,498128,2024000100,2024000010
01/04/2020,3000000,0,498128,498128,243138,254990,2024000100,2024000010
01/05/2020,3000000,0,254990,254990,0,254990,2024000100,2024000010
01/06/2020,3000000,1949748,254990,2204738,1245932,958806,2024000100,2024000010
01/07/2020,1500000,1723889,958806,2682695,1132885,1549810,2024000100,2024000010
01/08/2020,1500000,1658118,1549810,3207928,2381060,826868,2024000100,2024000010
01/09/2020,1500000,1893272,826868,2720140,2270534,449606,2024000100,2024000010
01/10/2020,1500000,2192767,449606,2642373,2184318,458055,2024000100,2024000010
01/11/2020,1500000,2585798,458055,3043853,858472,2185381,2024000100,2024000010
01/12/2020,1500000,3091880,2167381,5259261,3177212,2082049,2024000100,2024000010
01/01/2021,3000000,3045747,2082049,5127796,4534286,4279024,2024000100,2024000010
01/02/2021,3000000,1814535,593510,2408045,1416900,991145,2024000100,2024000010
01/03/2021,3000000,2673575,991145,3664720,1475811,2188909,2024000100,2024000010
01/04/2021,3000000,1738656,2188909,3927565,1725490,2202075,2024000100,2024000010
01/05/2021,3000000,2166298,2202075,4368373,2533260,1835113,2024000100,2024000010
01/06/2021,3000000,1985201,1835113,3820314,1648909,2171405,2024000100,2024000010
01/07/2021,3000000,833991,2171405,3005396,1268514,1736882,2024000100,2024000010
01/08/2021,3000000,1631216,1736882,3368098,1451802,1916296,2024000100,2024000010
01/09/2021,3000000,1513043,1916296,3429339,2369781,1059558,2024000100,2024000010
