createdAt,committedVolume,actualProduction,begInventory,totalStock,soldAmount,unsold,consumerId,producerId
01/01/2016,0,0,0,0,0,0,2024000100,2024000011
01/02/2016,0,0,0,0,0,0,2024000100,2024000011
01/03/2016,0,0,0,0,0,0,2024000100,2024000011
01/04/2016,0,0,0,0,0,0,2024000100,2024000011
01/05/2016,0,0,0,0,0,0,2024000100,2024000011
01/06/2016,0,0,0,0,0,0,2024000100,2024000011
01/07/2016,0,0,0,0,0,0,2024000100,2024000011
01/08/2016,0,0,0,0,0,0,2024000100,2024000011
01/09/2016,0,0,0,0,0,0,2024000100,2024000011
01/10/2016,0,0,0,0,0,0,2024000100,2024000011
01/11/2016,0,0,0,0,0,0,2024000100,2024000011
01/12/2016,0,0,0,0,0,0,2024000100,2024000011
01/01/2017,0,0,0,0,0,0,2024000100,2024000011
01/02/2017,0,0,0,0,0,0,2024000100,2024000011
01/03/2017,0,0,0,0,0,0,2024000100,2024000011
01/04/2017,0,0,0,0,0,0,2024000100,2024000011
01/05/2017,0,0,0,0,0,0,2024000100,2024000011
01/06/2017,0,0,0,0,0,0,2024000100,2024000011
01/07/2017,0,0,0,0,0,0,2024000100,2024000011
01/08/2017,0,0,0,0,0,0,2024000100,2024000011
01/09/2017,0,0,0,0,0,0,2024000100,2024000011
01/10/2017,0,0,0,0,0,0,2024000100,2024000011
01/11/2017,0,0,0,0,0,0,2024000100,2024000011
01/12/2017,0,0,0,0,0,0,2024000100,2024000011
01/01/2018,0,0,0,0,0,0,2024000100,2024000011
01/02/2018,0,0,0,0,0,0,2024000100,2024000011
01/03/2018,0,0,0,0,0,0,2024000100,2024000011
01/04/2018,0,0,0,0,0,0,2024000100,2024000011
01/05/2018,0,0,0,0,0,0,2024000100,2024000011
01/06/2018,0,0,0,0,0,0,2024000100,2024000011
01/07/2018,6000000,5668302,14193862,19862164,0,19862164,2024000100,2024000011
01/08/2018,6000000,0,19862164,19862164,1400000,18462164,2024000100,2024000011
01/09/2018,6000000,3898249,18462164,22360413,3949320,18411093,2024000100,2024000011
01/10/2018,9000000,5454215,18411093,23865308,4036606,19828702,2024000100,2024000011
01/11/2018,9000000,5361804,19828702,25190506,10093702,15096804,2024000100,2024000011
01/12/2018,9000000,3346583,15096804,18443387,6936418,11506969,2024000100,2024000011
01/01/2019,5400000,4463769,11506969,15970738,10693994,5276744,2024000100,2024000011
01/02/2019,5400000,4764881,5276744,10041625,4038995,6002630,2024000100,2024000011
01/03/2019,5400000,4988871,6002630,10991501,4643572,6347929,2024000100,2024000011
01/04/2019,5400000,5334778,6347929,11682707,3764440,7918267,2024000100,2024000011
01/05/2019,5400000,4211700,7918267,12129967,4349943,7780024,2024000100,2024000011
01/06/2019,5400000,3684435,7780024,11464459,3867510,7596949,2024000100,2024000011
01/07/2019,5400000,5075728,7596949,12672677,10794172,1878505,2024000100,2024000011
01/08/2019,5400000,5343698,1878505,7222203,5327714,1894489,2024000100,2024000011
01/09/2019,5400000,5190209,1894489,7084698,5715748,1368950,2024000100,2024000011
01/10/2019,5400000,6420505,1368950,7789455,7454870,334585,2024000100,2024000011
01/11/2019,5400000,6204595,334585,6539180,5747098,792082,2024000100,2024000011
01/12/2019,5400000,6375705,792082,7167787,4005286,3162501,2024000100,2024000011
01/01/2020,5400000,6476009,3162501,9638510,9407340,231170,2024000100,2024000011
01/02/2020,5400000,5858048,231170,6089218,5133213,956005,2024000100,2024000011
01/03/2020,5400000,6393437,956005,7349442,5360629,1988813,2024000100,2024000011
01/04/2020,5400000,3855412,1988813,5844225,1197897,4646328,2024000100,2024000011
01/05/2020,5400000,2799432,4646328,7445760,2346970,5098790,2024000100,2024000011
01/06/2020,5400000,3041634,5098790,8140424,6344380,1796044,2024000100,2024000011
01/07/2020,5400000,4870398,1796044,6666442,5099313,1567129,2024000100,2024000011
01/08/2020,5400000,6072218,1567129,7639347,5569197,2070150,2024000100,2024000011
01/09/2020,5400000,5228501,2070150,7298651,4200630,3098021,2024000100,2024000011
01/10/2020,5400000,5764469,3098021,8862490,7543313,1319177,2024000100,2024000011
01/11/2020,5400000,5620654,1677341,7297995,5260566,2037429,2024000100,2024000011
01/12/2020,5400000,6485271,2041347,8526618,5602667,2923951,2024000100,2024000011
01/01/2021,5400000,5785987,2923951,8709938,7312720,1397218,2024000100,2024000011
01/02/2021,5400000,5287010,1397218,6684228,4946372,1737856,2024000100,2024000011
01/03/2021,5400000,6416897,1737856,8154753,5632995,2521758,2024000100,2024000011
01/04/2021,5400000,6032722,2521758,8554480,5718077,2836403,2024000100,2024000011
01/05/2021,5400000,6228821,2836403,9065224,7400771,1664453,2024000100,2024000011
01/06/2021,5400000,5592996,1664453,7257449,2755522,4501927,2024000100,2024000011
01/07/2021,5400000,4830785,4501927,9332712,4197165,5135547,2024000100,2024000011
01/08/2021,5400000,3726711,5135547,8862258,3875146,4987112,2024000100,2024000011
01/09/2021,5400000,5182796,4987112,10169908,8416693,1753215,2024000100,2024000011
01/10/2021,5400000,6075336,1753215,7828551,4032524,3796027,2024000100,2024000011
01/11/2021,5400000,2722132,3796027,6518159,5083324,1434835,2024000100,2024000011
01/12/2021,5400000,4065933,1434835,5500768,4545168,955600,2024000100,2024000011
