createdAt,committedVolume,actualProduction,begInventory,totalStock,soldAmount,unsold,consumerId,producerId
01/01/2021,0,0,0,884100,0,884100,2024000100,2024000013
01/02/2021,0,0,884100,884100,0,884100,2024000100,2024000013
01/03/2021,0,404300,884100,1288400,0,1288400,2024000100,2024000013
01/04/2021,3000000,0,1288400,1288400,0,1288400,2024000100,2024000013
01/05/2021,3000000,1774400,1288400,3062800,1568000,1494800,2024000100,2024000013
01/06/2021,3000000,3091400,1494800,4586200,655200,3931000,2024000100,2024000013
01/07/2021,3000000,2268100,3931000,6199100,3014999,3184101,2024000100,2024000013
01/08/2021,3000000,1951100,3184101,5135201,3655800,1479401,2024000100,2024000013
01/09/2021,3000000,1525000,1479401,3004401,998000,2006401,2024000100,2024000013
01/10/2021,3000000,2131500,2006401,4137901,3646000,491901,2024000100,2024000013
01/11/2021,3000000,2495800,491901,2987701,2519600,468101,2024000100,2024000013
01/12/2021,3000000,2280200,468101,2748301,2284400,463901,2024000100,2024000013
