createdAt,committedVolume,actualProduction,begInventory,totalStock,soldAmount,unsold,consumerId,producerId
2016-01-01,3000000,3587505,869055,4456560,4333358,123202,2024000100,2024000001
2016-02-01,3300000,3440814,123202,3564016,3484406,79610,2024000100,2024000001
2016-03-01,3500000,3356147,79610,3435757,2900528,535229,2024000100,2024000001
2016-04-01,3500000,3731009,535229,4266238,3745520,520718,2024000100,2024000001
2016-05-01,3500000,3624283,520718,4145001,3974661,170340,2024000100,2024000001
2016-06-01,3500000,3362274,170340,3532614,2582674,949940,2024000100,2024000001
2016-07-01,3500000,3587079,949940,4537019,4292891,244128,2024000100,2024000001
2016-08-01,3500000,3503383,244128,3747511,2969430,778081,2024000100,2024000001
2016-09-01,1900000,2414757,778081,3192838,1901584,1291254,2024000100,2024000001
2016-10-01,0,835592,1291254,2126846,827080,1299766,2024000100,2024000001
2016-11-01,3300000,1891150,1299766,3190916,1530787,1660129,2024000100,2024000001
2016-12-01,3500000,3846025,1660129,5506154,2861178,2644976,2024000100,2024000001
2017-01-01,3800000,3107037,2644976,5752013,2815614,2936399,2024000100,2024000001
2017-02-01,3800000,3486539,2936399,6422938,3385425,3037513,2024000100,2024000001
2017-03-01,3400000,3964671,3037513,7002184,4094724,2907460,2024000100,2024000001
2017-04-01,3900000,3045999,2907460,5953459,3891435,2062024,2024000100,2024000001
2017-05-01,3900000,3287656,2062024,5349680,4767069,582611,2024000100,2024000001
2017-06-01,3900000,3297898,582611,3880509,3645569,234940,2024000100,2024000001
2017-07-01,4200000,3481298,234940,3716238,2556202,1160036,2024000100,2024000001
2017-08-01,4200000,2431908,1160036,3591944,2459771,1132173,2024000100,2024000001
2017-09-01,4200000,2623673,1132173,3755846,3609575,146271,2024000100,2024000001
2017-10-01,0,0,146271,146271,0,146271,2024000100,2024000001
2017-11-01,2800000,1845281,146271,1991552,1254328,737224,2024000100,2024000001
2017-12-01,4200000,3397869,737224,4135093,3941293,193800,2024000100,2024000001
2018-01-01,4000000,2874199,193800,3067999,1245517,1822482,2024000100,2024000001
2018-02-01,2700000,2925587,1822482,4748069,3943712,804357,2024000100,2024000001
2018-03-01,4000000,3436511,804357,4240868,3950823,290045,2024000100,2024000001
2018-04-01,2700000,3770961,290045,4061006,2567614,1493392,2024000100,2024000001
2018-05-01,2700000,4575955,1493392,6069347,4955961,1113386,2024000100,2024000001
2018-06-01,2700000,3449842,1113386,4563228,2578021,1985207,2024000100,2024000001
2018-07-01,4200000,3810398,1985207,5795605,5519525,276080,2024000100,2024000001
2018-08-01,4200000,4410738,276080,4686818,4135010,551808,2024000100,2024000001
2018-09-01,4200000,3752362,551808,4304170,2864241,1439929,2024000100,2024000001
2018-10-01,1500000,603977,1439929,2043906,1823850,220056,2024000100,2024000001
2018-11-01,2700000,2111584,220056,2331640,352800,1978840,2024000100,2024000001
2018-12-01,3900000,3318155,1978840,5296995,4333477,963518,2024000100,2024000001
2019-01-01,2800000,3829563,963518,4793081,3738739,1054342,2024000100,2024000001
2019-02-01,4100000,3524404,1054342,4578746,3733760,844986,2024000100,2024000001
2019-03-01,2800000,3127544,844986,3972530,2565129,1407401,2024000100,2024000001
