createdAt,committedVolume,actualProduction,begInventory,totalStock,soldAmount,unsold,consumerId,producerId
01/01/2016,700000,0,740750,740750,178400,562350,2024000100,2024000002
01/02/2016,260000,701850,562350,1264200,607600,656600,2024000100,2024000002
01/03/2016,750000,719760,656600,1376360,811760,564600,2024000100,2024000002
01/04/2016,700000,859900,564600,1424500,853462.4,571037.6,2024000100,2024000002
01/05/2016,700000,918600,571037.6,1489637.6,937860,551777.6,2024000100,2024000002
01/06/2016,700000,741600,551777.6,1293377.6,958440,334937.6,2024000100,2024000002
01/07/2016,1000000,901450,334937.6,1236387.6,796740,439647.6,2024000100,2024000002
01/08/2016,1000000,930800,439647.6,1370447.6,1027040,343407.6,2024000100,2024000002
01/09/2016,1000000,1020000,343407.6,1363407.6,868770,494637.6,2024000100,2024000002
01/10/2016,1000000,968700,494637.6,1463337.6,813400,649937.6,2024000100,2024000002
01/11/2016,1000000,956000,649937.6,1605937.6,789880,816057.6,2024000100,2024000002
01/12/2016,1000000,1017340,816057.6,1833397.6,1028020,805377.6,2024000100,2024000002
01/01/2017,1000000,953125,805377.6,1758502.6,833000,925502.6,2024000100,2024000002
01/02/2017,1000000,781285,925502.6,1706787.6,803600,903187.6,2024000100,2024000002
01/03/2017,1000000,845764,903187.6,1748951.6,823200,925751.6,2024000100,2024000002
01/04/2017,1000000,1013150,925751.6,1938901.6,878080,1060821.6,2024000100,2024000002
01/05/2017,1000000,1103736,1060821.6,2164557.6,1209320,955237.6,2024000100,2024000002
01/06/2017,1000000,907052,955237.6,1862289.6,1583680,278609.6,2024000100,2024000002
01/07/2017,1000000,1038507,278609.6,1317116.6,985880,331236.6,2024000100,2024000002
01/08/2017,1000000,1140617,331236.6,1471853.6,938840,533013.6,2024000100,2024000002
01/09/2017,1000000,1041695,533013.6,1574708.6,974120,600588.6,2024000100,2024000002
01/10/2017,1100000,1161676,600588.6,1762264.6,235000,1527264.6,2024000100,2024000002
01/11/2017,1100000,1085704,1527264.6,2612968.6,529200,2083768.6,2024000100,2024000002
01/12/2017,1100000,779307,2083768.6,2863075.6,672280,2190795.6,2024000100,2024000002
01/01/2018,1000000,1085409,2190596,3276005,1426880,1849125,2024000100,2024000002
01/02/2018,1000000,886460,1849125,2735585,1414140,1321445,2024000100,2024000002
01/03/2018,1000000,1035403,1321445,2356848,1207360,1149488,2024000100,2024000002
01/04/2018,1000000,1005702,1149488,2155190,1215200,939990,2024000100,2024000002
01/05/2018,1000000,1044530,939990,1984520,1258320,726200,2024000100,2024000002
01/06/2018,1000000,1024373,726200,1750573,1176000,574573,2024000100,2024000002
01/07/2018,1100000,1007319,574573,1581892,917280,664612,2024000100,2024000002
01/08/2018,1100000,1071171,664612,1735783,913360,822423,2024000100,2024000002
01/09/2018,1100000,1006367,822423,1828790,936880,891910,2024000100,2024000002
01/10/2018,1000000,1128054,891910,2019964,889840,1130124,2024000100,2024000002
01/11/2018,1000000,1024864,1130124,2154988,889840,1265148,2024000100,2024000002
01/12/2018,1000000,535377,1265148,1800525,889840,910685,2024000100,2024000002
01/01/2019,900000,1018220,910684.6,1928904.6,960400,968504.6,2024000100,2024000002
01/02/2019,900000,950956,968504.6,1919460.6,913360,1006100.6,2024000100,2024000002
01/03/2019,900000,1062333,1006100.6,2068433.6,1177960,890473.6,2024000100,2024000002
