createdAt,committedVolume,actualProduction,begInventory,totalStock,soldAmount,unsold,consumerId,producerId
01/01/2016,5000000,1959237,152354,2111591,1989088,122503,2024000100,2024000003
01/02/2016,4500000,1605120,122503,1727623,1701768,25855,2024000100,2024000003
01/03/2016,5000000,1073455,25855,1099310,795031,304279,2024000100,2024000003
01/04/2016,5000000,2539245,304279,2843524,2402084,441440,2024000100,2024000003
01/05/2016,4500000,2350527,441440,2791967,2548946,243021,2024000100,2024000003
01/06/2016,5000000,1391538,243021,1634559,1492002,142557,2024000100,2024000003
01/07/2016,3000000,1211133,142557,1353690,979358,374332,2024000100,2024000003
01/08/2016,1500000,792507,374332,1166839,998852,167987,2024000100,2024000003
01/09/2016,0,181737,167987,349724,343056,6668,2024000100,2024000003
01/10/2016,0,0,6668,6668,0,6668,2024000100,2024000003
01/11/2016,500000,0,6668,6668,0,6668,2024000100,2024000003
01/12/2016,2000000,0,6668,6668,0,6668,2024000100,2024000003
01/01/2017,2000000,0,6668,6668,0,6668,2024000100,2024000003
01/02/2017,2500000,512331,6668,518999,391728,127271,2024000100,2024000003
01/03/2017,3000000,1869310,127271,1996581,1842552,154029,2024000100,2024000003
01/04/2017,4500000,1959043,154029,2113072,1418100,694972,2024000100,2024000003
01/05/2017,0,1922581,694972,2617553,1574580,1042973,2024000100,2024000003
01/06/2017,0,1522554,1042973,2565527,1242060,1323467,2024000100,2024000003
01/07/2017,2500000,2119109,1323467,3442576,1779960,1662616,2024000100,2024000003
01/08/2017,0,937269,1662616,2599885,567240,2032645,2024000100,2024000003
01/09/2017,0,0,2032645,2032645,978000,1054645,2024000100,2024000003
01/10/2017,0,0,1054645,1054645,949033,105612,2024000100,2024000003
01/11/2017,0,0,105612,105612,35208,70404,2024000100,2024000003
01/12/2017,1000000,0,70404,70404,257,70147,2024000100,2024000003
01/01/2018,500000,0,70147,70147,728,69419,2024000100,2024000003
01/02/2018,1500000,1511710,69419,1581129,1206852,374277,2024000100,2024000003
01/03/2018,1500000,2222366,374277,2596643,608503,1988140,2024000100,2024000003
01/04/2018,2000000,1870495,1988140,3858635,2015328,1843307,2024000100,2024000003
01/05/2018,2000000,2786406,1843307,4629713,2267711,2362002,2024000100,2024000003
01/06/2018,2000000,2822600,2362002,5184602,2989683,2194919,2024000100,2024000003
01/07/2018,6000000,1620644,2194919,3815563,3296349,519214,2024000100,2024000003
01/08/2018,2500000,1670400,521703,2192103,1168953,1023150,2024000100,2024000003
01/09/2018,2000000,1049002,1019137,2068139,1639760,428379,2024000100,2024000003
01/10/2018,3000000,1030640,417320,1447960,756972,690988,2024000100,2024000003
01/11/2018,0,0,679181,679181,442056,237125,2024000100,2024000003
01/12/2018,0,0,232592,232592,136920,93066,2024000100,2024000003
01/01/2019,0,0,93066,93066,78240,14530,2024000100,2024000003
01/02/2019,0,1570131,14530,1584661,410760,1171295,2024000100,2024000003
01/03/2019,1500000,2436496,1171295,3607791,2619325.566,988169.434,2024000100,2024000003
01/04/2019,2700000,2413395,988169.434,3401564.434,2012724,1386234.434,2024000100,2024000003
01/05/2019,2700000,2296391,1386234.434,3682625.434,1860668,1821661.434,2024000100,2024000003
01/06/2019,2600000,1925291,1821661.434,3746952.434,1795608,1948738.434,2024000100,2024000003
01/07/2019,0,75571,1948738.434,2024309.434,1873848,150165.434,2024000100,2024000003
01/08/2019,2000000,2208582,150165.434,2358747.434,1772136,584005.434,2024000100,2024000003
01/09/2019,2000000,1008127,584005.434,1592132.434,1593038,1201.566,2024000100,2024000003
01/10/2019,3000000,1152116,1201.566,1150914.434,899760,248548.434,2024000100,2024000003
01/11/2019,3000000,639761.06,248548.434,888309.494,859968,28045.494,2024000100,2024000003
01/12/2019,0,0,28045.494,28045.494,0,25439.494,2024000100,2024000003
01/01/2020,0,1112224,25439.494,1137663.494,655260,482107.494,2024000100,2024000003
01/02/2020,500000,3524330.92,482107.494,4006438.414,2809304,1194528.414,2024000100,2024000003
01/03/2020,1500000,3013684.04,1194528.414,4208212.454,1537416,2670500.454,2024000100,2024000003
01/04/2020,1500000,2824663,2670500.454,5495163.454,557460,4937407.454,2024000100,2024000003
01/05/2020,2000000,883149,4937407.454,5820556.454,1349640,4468310.454,2024000100,2024000003
01/06/2020,2000000,0,4468310.454,4468310.454,2475191.32,1992823.134,2024000100,2024000003
01/07/2020,3000000,1413470,1992823.134,3406293,2666028,739969,2024000100,2024000003
01/08/2020,2000000,1162666.21,633967.134,1796633.344,841080,955553.344,2024000100,2024000003
01/09/2020,1000000,1009571.41,952947.344,1962518.754,1507339.57,455179.184,2024000100,2024000003
01/10/2020,700000,172713,454883,627597,562909,64391,2024000100,2024000003
01/11/2020,0,0,16611,16611,0,16611,2024000100,2024000003
01/12/2020,0,0,16611,16611,0,16611,2024000100,2024000003
01/01/2021,0,1333834.001,16611,1350445.001,772620,577825.001,2024000100,2024000003
01/02/2021,500000,2366563,577825.001,2944388.001,2055756,888632.001,2024000100,2024000003
01/03/2021,1000000,3191508.997,888632.001,4080140.998,2463284,1616856.998,2024000100,2024000003
01/04/2021,2000000,4052667,1616856.998,5669523.998,2404412,3265111.998,2024000100,2024000003
01/05/2021,2000000,4378834,3265111.998,7643945.998,2343288,5300657.998,2024000100,2024000003
01/06/2021,2000000,1969574.506,5300657.998,7270232.504,2347200,4923032.504,2024000100,2024000003
01/07/2021,2000000,1969737,4923032.504,6892769.504,3569232,3323537.504,2024000100,2024000003
01/08/2021,2000000,724179,3323537.504,4047716.504,1351920,2695796.504,2024000100,2024000003
01/09/2021,1000000,0,2695796.504,2695796.504,1560888,1134910,2024000100,2024000003
01/10/2021,0,0,1134910,1134910,948660,186250,2024000100,2024000003
01/11/2021,0,0,186250,186250,48900,137350,2024000100,2024000003
01/12/2021,0,0,5712,5712,0,5712,2024000100,2024000003
