createdAt,committedVolume,actualProduction,begInventory,totalStock,soldAmount,unsold,consumerId,producerId
01/01/2016,3300000,3360000,1034608,4394608,3476941.25,917666.75,2024000100,2024000005
01/02/2016,3300000,3300000,917666.75,4217666.75,3425936,791730.75,2024000100,2024000005
01/03/2016,3300000,3360000,791730.75,4151730.75,3507357.93,644372.82,2024000100,2024000005
01/04/2016,3300000,3300000,644372.82,3944372.82,3323019.8,621353.02,2024000100,2024000005
01/05/2016,3300000,3300000,621353.02,3921353.02,1576470.62,2344882.4,2024000100,2024000005
01/06/2016,3300000,3300000,2344882.4,5644882.4,4966187.03,678695.37,2024000100,2024000005
01/07/2016,3300000,3300000,678695.37,3978695.37,2157798.04,1820897.33,2024000100,2024000005
01/08/2016,2500000,2500000,1820897.33,4320897.33,2645438.48,1675458.85,2024000100,2024000005
01/09/2016,2000000,2100000,1675458.85,3775458.85,2887634.06,887824.79,2024000100,2024000005
01/10/2016,4500000,4500000,887824.79,5387824.79,2930247.48,2457577.31,2024000100,2024000005
01/11/2016,4200000,1370000,2457577.31,3827577.31,2326372.29,1501205.02,2024000100,2024000005
01/12/2016,3300000,2800000,1501205.02,4301205.02,2400213.96,1900991.06,2024000100,2024000005
01/01/2017,2000000,2000000,1900991.06,3900991.06,2768155.86,1132835.2,2024000100,2024000005
01/02/2017,2500000,2500000,1132835.2,3632835.2,2482766.22,1150068.98,2024000100,2024000005
01/03/2017,3300000,3320000,1150068.98,4470068.98,1779545.46,2690523.52,2024000100,2024000005
01/04/2017,2500000,2500000,2690523.52,5190523.52,2788602.79,2401920.73,2024000100,2024000005
01/05/2017,2500000,2500000,2401920.73,4901920.73,1930407.4,2971513.33,2024000100,2024000005
01/06/2017,2500000,2500000,2971513.33,5471513.33,2648889.46,2822623.87,2024000100,2024000005
01/07/2017,4000000,4000000,2822623.87,6822623.87,3388222.03,3434401.84,2024000100,2024000005
01/08/2017,4000000,4010000,3434401.84,7444401.84,4968871.51,2475530.33,2024000100,2024000005
01/09/2017,4000000,4000000,2475530.33,6475530.33,3807467.17,2668063.16,2024000100,2024000005
01/10/2017,3500000,3510000,2668063.16,6178063.16,4117845.15,2060218.01,2024000100,2024000005
01/11/2017,3500000,3040000,2060218.01,5100218.01,2348111.6,2752106.41,2024000100,2024000005
01/12/2017,3500000,3140000,2752106.41,5892106.41,3691606.41,2200500,2024000100,2024000005
01/01/2018,4000000,3600000,2200500,5800500,3330406.66,2470093.34,2024000100,2024000005
01/02/2018,4000000,3500000,2470093.34,5970093.34,3847837.24,2122256.1,2024000100,2024000005
01/03/2018,4000000,3660000,2122256.1,5782256.1,3887349.37,1894906.73,2024000100,2024000005
01/04/2018,3800000,3240000,1894906.73,5134906.73,3641121.03,1493785.7,2024000100,2024000005
01/05/2018,3800000,3240000,1493785.7,4733785.7,3650623.38,1083162.32,2024000100,2024000005
01/06/2018,3800000,3600000,1083162.32,4683162.32,3536662.32,1146500,2024000100,2024000005
01/07/2018,4000000,4000000,1146500,5146500,3544507.81,1601992.19,2024000100,2024000005
01/08/2018,4000000,4000000,1601992.19,5601992.19,3848117.61,1753874.58,2024000100,2024000005
01/09/2018,4000000,4000000,1753874.58,5753874.58,4189430.45,1564444.13,2024000100,2024000005
01/10/2018,4000000,4000000,1564444.13,5564444.13,3926123.3,1638320.83,2024000100,2024000005
01/11/2018,4000000,3440000,1638320.83,5078320.83,3689596.18,1388724.65,2024000100,2024000005
01/12/2018,4000000,3480000,1388724.65,4868724.65,3380814.23,1487910.42,2024000100,2024000005
01/01/2019,4000000,4030000,1487910.42,5517910.42,4129436.4,1388474.02,2024000100,2024000005
01/02/2019,4000000,3640000,1388474.02,5028474.02,3834363.64,1194110.38,2024000100,2024000005
01/03/2019,4000000,4340000,1194110.38,5534110.38,3600597.39,1933512.99,2024000100,2024000005
01/04/2019,4000000,4050000,1933512.99,5983512.99,3925622.74,2057890.25,2024000100,2024000005
01/05/2019,4000000,4050000,2057890.25,6107890.25,3855738.61,2252151.64,2024000100,2024000005
01/06/2019,4000000,4020000,2252151.64,6272151.64,4024651.64,2247500,2024000100,2024000005
01/07/2019,4000000,4030000,2247500,6277500,3673365.85,2604134.15,2024000100,2024000005
01/08/2019,4000000,2950000,2604134.15,5554134.15,3879079.46,1675054.69,2024000100,2024000005
01/09/2019,4000000,5040000,1675054.69,6715054.69,3984718.75,2730335.94,2024000100,2024000005
01/10/2019,4500000,4000000,2730335.94,6730335.94,4269875.02,2460460.92,2024000100,2024000005
01/11/2019,4500000,3600000,2460460.92,6060460.92,2796051.13,3264409.79,2024000100,2024000005
01/12/2019,4500000,3460000,3264409.79,6724409.79,5923279.07,801130.72,2024000100,2024000005
01/01/2020,4000000,3560000,801130.72,4361130.72,3525841.66,835289.06,2024000100,2024000005
01/02/2020,4000000,3700000,835289.06,4535289.06,3771828.12,763460.94,2024000100,2024000005
01/03/2020,4000000,3720000,763460.94,4483460.94,2329859.38,2153601.56,2024000100,2024000005
01/04/2020,4000000,1680000,2153601.56,3833601.56,1582593.75,2251007.81,2024000100,2024000005
01/05/2020,4000000,2380000,2251007.81,4631007.81,593750,4037257.81,2024000100,2024000005
01/06/2020,4000000,1920000,4037257.81,5957257.81,2506250.01,3451007.8,2024000100,2024000005
01/07/2020,2600000,3228671,3451007.8,6679678.8,5208587.89,1471090.91,2024000100,2024000005
01/08/2020,2600000,3120000,1471090.91,4591090.91,2933676.4,1657414.51,2024000100,2024000005
01/09/2020,2600000,2700000,2079428.57,4779428.57,2670428.57,2109000,2024000100,2024000005
01/10/2020,4000000,1435000,2109000,3544000,2249585.94,1294414.06,2024000100,2024000005
01/11/2020,4000000,0,1294414.06,1294414.06,0,0,2024000100,2024000005
01/12/2020,4000000,0,0,0,0,0,2024000100,2024000005
01/01/2021,0,0,872400,872400,0,872400,2024000100,2024000005
01/02/2021,0,0,872400,872400,0,872400,2024000100,2024000005
