createdAt,committedVolume,actualProduction,begInventory,totalStock,soldAmount,unsold,consumerId,producerId
01/01/2016,0,0,0,0,0,0,2024000100,2024000006
01/02/2016,0,0,0,0,0,0,2024000100,2024000006
01/03/2016,0,0,0,0,0,0,2024000100,2024000006
01/04/2016,0,0,0,0,0,0,2024000100,2024000006
01/05/2016,0,0,0,0,0,0,2024000100,2024000006
01/06/2016,0,0,0,0,0,0,2024000100,2024000006
01/07/2016,0,0,0,0,0,0,2024000100,2024000006
01/08/2016,0,0,0,0,0,0,2024000100,2024000006
01/09/2016,0,0,0,0,0,8960,2024000100,2024000006
01/10/2016,300000,342890,8960,351850,0,351850,2024000100,2024000006
01/11/2016,300000,0,351850,351850,300000,51850,2024000100,2024000006
01/12/2016,300000,583014,51850,634864,510000,124864,2024000100,2024000006
01/01/2017,700000,543651,124864,668515,410000,258515,2024000100,2024000006
01/02/2017,700000,0,258515,258515,200000,58515,2024000100,2024000006
01/03/2017,700000,188320,58515,246835,200000,46835,2024000100,2024000006
01/04/2017,700000,0,46835,46835,0,46835,2024000100,2024000006
01/05/2017,700000,579500,46835,626335,0,626335,2024000100,2024000006
01/06/2017,700000,55100,626335,681435,200000,481435,2024000100,2024000006
01/07/2017,700000,324284,481435,805719,0,805719,2024000100,2024000006
01/08/2017,700000,0,805719,805719,196000,609719,2024000100,2024000006
01/09/2017,700000,669300,609719,1279019,1208320,70699,2024000100,2024000006
01/10/2017,800000,575700,70699,646399,374200,272199,2024000100,2024000006
01/11/2017,800000,1244426,272199,1516625,1322080,194545,2024000100,2024000006
01/12/2017,800000,1007000,194545,1201545,1094400,107145,2024000100,2024000006
01/01/2018,700000,844200,107145,951345,691400,259945,2024000100,2024000006
01/02/2018,700000,400700,259945,660645,348200,312445,2024000100,2024000006
01/03/2018,700000,576300,312445,888745,798720,90025,2024000100,2024000006
01/04/2018,700000,547100,90025,637125,0,637125,2024000100,2024000006
01/05/2018,700000,693800,637125,1330925,320000,1010925,2024000100,2024000006
01/06/2018,700000,1172700,1010925,2183625,1425400,758225,2024000100,2024000006
01/07/2018,700000,1298100,758225,2056325,1345840,710485,2024000100,2024000006
01/08/2018,700000,1047600,710485,1758085,1579320,178765,2024000100,2024000006
01/09/2018,700000,689200,178765,867965,337360,530605,2024000100,2024000006
01/10/2018,800000,1283100,530605,1813705,1335920,477785,2024000100,2024000006
01/11/2018,800000,885100,477785,1362885,855360,507525,2024000100,2024000006
01/12/2018,800000,1122900,507525,1630425,956940,673485,2024000100,2024000006
01/01/2019,900000,1170000,673485,1843485,1117120,726365,2024000100,2024000006
01/02/2019,900000,1241400,726365,1967765,1236220,731545,2024000100,2024000006
01/03/2019,900000,885700,731545,1617245,773460,843785,2024000100,2024000006
01/04/2019,850000,1182400,843310,2025710,1613520,412190,2024000100,2024000006
01/05/2019,850000,1517300,412190,1929490,1698640,230850,2024000100,2024000006
01/06/2019,850000,1148900,230850,1379750,900000,479750,2024000100,2024000006
01/07/2019,900000,977000,479750,1456750,1017600,439150,2024000100,2024000006
01/08/2019,900000,1335600,439150,1774750,1375200,399550,2024000100,2024000006
01/09/2019,900000,1268400,399550,1667950,1129400,538550,2024000100,2024000006
01/10/2019,900000,753800,538550,1292350,1131380,160970,2024000100,2024000006
01/11/2019,900000,986800,160970,1147770,750000,397770,2024000100,2024000006
01/12/2019,900000,337900,397770,735670,426400,309270,2024000100,2024000006
01/01/2020,1000000,664550,309270,973820,705800,268020,2024000100,2024000006
01/02/2020,1000000,207600,268020,475620,417600,58020,2024000100,2024000006
01/03/2020,1000000,511200,58020,569220,397960,171260,2024000100,2024000006
01/04/2020,800000,0,171260,171260,0,171260,2024000100,2024000006
01/05/2020,800000,0,171260,171260,0,171260,2024000100,2024000006
01/06/2020,800000,0,171260,171260,0,171260,2024000100,2024000006
01/07/2020,800000,0,171260,171260,0,171260,2024000100,2024000006
01/08/2020,800000,0,171260,171260,0,171260,2024000100,2024000006
01/09/2020,800000,0,171260,171260,0,171260,2024000100,2024000006
01/10/2020,800000,0,171260,171260,0,171260,2024000100,2024000006
01/11/2020,800000,0,171260,171260,0,171260,2024000100,2024000006
01/12/2020,800000,0,171260,171260,0,171260,2024000100,2024000006
01/01/2021,300000,0,170830,170830,0,170830,2024000100,2024000006
01/02/2021,300000,0,170830,170830,0,170830,2024000100,2024000006
01/03/2021,300000,0,170830,170830,0,170830,2024000100,2024000006
01/04/2021,300000,0,170830,170830,0,170830,2024000100,2024000006
01/05/2021,300000,0,170830,170830,0,170830,2024000100,2024000006
01/06/2021,300000,0,170830,170830,0,170830,2024000100,2024000006
01/07/2021,300000,0,170830,170830,0,170830,2024000100,2024000006
01/08/2021,300000,0,170830,170830,0,170830,2024000100,2024000006
01/09/2021,300000,0,170830,170830,0,170830,2024000100,2024000006
01/10/2021,300000,196600,170830,367430,0,367430,2024000100,2024000006
01/11/2021,300000,687100,367430,1054530,693960,360570,2024000100,2024000006
01/12/2021,300000,666000,360570,1026570,511240,515060,2024000100,2024000006
