createdAt,committedVolume,actualProduction,begInventory,totalStock,soldAmount,unsold,consumerId,producerId
01/01/2016,1000000,2306284,2479049,172765,500000,635049,2024000100,2024000008
01/02/2016,1500000,1359116,672765,686351,2000000,480696,2024000100,2024000008
01/03/2016,1500000,2210718,1313649,897069,1500000,940188,2024000100,2024000008
01/04/2016,2200000,1108743,602931,505812,1720000,754062,2024000100,2024000008
01/05/2016,2200000,1977443,1214188,763255,2800000,450289,2024000100,2024000008
01/06/2016,2300000,2727524,2036745,690779,2200000,572775,2024000100,2024000008
01/07/2016,2000000,2375008,1509221,865787,1500000,322241,2024000100,2024000008
01/08/2016,2000000,2375829,634213,1741616,2600000,359588,2024000100,2024000008
01/09/2016,2200000,1935561,858384,1077177,2100000,602610,2024000100,2024000008
01/10/2016,1500000,2698690,1022823,1675867,1627000,985192,2024000100,2024000008
01/11/2016,2300000,2318699,48867,2367566,2100000,1257504,2024000100,2024000008
01/12/2016,2400000,2956765,267566,3224331,100000,1480615,2024000100,2024000008
01/01/2017,2000000,2256646,3124331,5380977,3427000,2352234,2024000100,2024000008
01/02/2017,2500000,2481713,1953977,4435690,2300000,1503520,2024000100,2024000008
01/03/2017,2500000,3095802,2135690,5231492,1900000,2218287,2024000100,2024000008
01/04/2017,2451923,2487653,3331492,5819145,3276251,1205171,2024000100,2024000008
01/05/2017,3000000,3003535,2542894,5546429,2240000,865663,2024000100,2024000008
01/06/2017,3000000,1455660,3172751,4628411,2480000,585423,2024000100,2024000008
01/07/2017,2500000,474162,2148411,2622573,2258000,928899,2024000100,2024000008
01/08/2017,2500000,3131922,498297,3630219,1921200,1698564,2024000100,2024000008
01/09/2017,2500000,2315211,1709019,4024230,2221419.52,1672695,2024000100,2024000008
01/10/2017,2500000,2800752,1802810.48,4603562.48,3234500,1585212,2024000100,2024000008
01/11/2017,2500000,2501860,1369062.48,3870922.48,2839500,400880,2024000100,2024000008
01/12/2017,2500000,2795551,1031422.48,3826973.48,2769500,1129699,2024000100,2024000008
01/01/2018,3000000,1720910,1057473.48,2778383.48,2400620,718168,2024000100,2024000008
01/02/2018,3000000,2720916,377763.48,3098679.48,2300620,1161263,2024000100,2024000008
01/03/2018,3000000,3022625,798059.48,3820684.48,2419620,690980,2024000100,2024000008
01/04/2018,3000000,2345614,1401064.48,3746678.48,2494000,681298,2024000100,2024000008
01/05/2018,3000000,3071812,1252678.48,4324490.48,2448000,820626,2024000100,2024000008
01/06/2018,2900000,2923123,1876490.48,4799613.48,2350000,711708,2024000100,2024000008
01/07/2018,2900000,3055125,2449613.48,5504738.48,3129320,551710,2024000100,2024000008
01/08/2018,2900000,2296770,2375418.48,4672188.48,3599320,416104,2024000100,2024000008
01/09/2018,2900000,2152671,1072868.48,3225539.48,3129320,173281,2024000100,2024000008
01/10/2018,2900000,3132393,96219.48,3228612.48,2799600,407438,2024000100,2024000008
01/11/2018,2400000,2049235,429012.48,2478247.48,2799600,143232,2024000100,2024000008
01/12/2018,2900000,2912950,321352.52,2591597.48,2799600,369927,2024000100,2024000008
01/01/2019,2900000,2914922,469212,2445710,2599600,1044459,2024000100,2024000008
01/02/2019,2200000,1958392,153890,1804502,2599600,179744,2024000100,2024000008
01/03/2019,2900000,3137429,795098,2342331,2599600,127554,2024000100,2024000008
01/04/2019,2500000,2984419,257269,2727150,2599600,166871,2024000100,2024000008
01/05/2019,3000000,2152663,127550,2280213,2599600,867119,2024000100,2024000008
01/06/2019,2200000,3085115,319387,2765728,2499600,1024739,2024000100,2024000008
01/07/2019,1900000,2338107,266128,2604235,1999600,396212,2024000100,2024000008
01/08/2019,3000000,2960273,604635,3564908,2899600,766748,2024000100,2024000008
01/09/2019,2400000,2547756,665308,3213064,2399600,516531,2024000100,2024000008
01/10/2019,2900000,2416059,813464,3229523,2899680,703380,2024000100,2024000008
01/11/2019,3000000,2956898,329843,3286741,2899680,424417,2024000100,2024000008
01/12/2019,2700000,1952605,387061,2339666,2799680,1375094,2024000100,2024000008
01/01/2020,2500000,3000943,460014,2540929,2599360,1207311,2024000100,2024000008
01/02/2020,2800000,1886836,58751,1828085,2599360,79777,2024000100,2024000008
01/03/2020,2500000,2975438,771595,2203843,2599360,685644,2024000100,2024000008
01/04/2020,2200000,2810821,395837,2414984,2299720,1034077,2024000100,2024000008
01/05/2020,2400000,2922283,115264,3037547,2299720,1479855,2024000100,2024000008
01/06/2020,2200000,2317832,737827,3055659,2199720,1200604,2024000100,2024000008
01/07/2020,2700000,2578022,855939,3433961,2596023,983295,2024000100,2024000008
01/08/2020,2400000,1048356,837938,1886294,1800000,964520,2024000100,2024000008
01/09/2020,2700000,0,86294,86294,0,798425,2024000100,2024000008
01/10/2020,2600000,2429817,86294,2516111,2749680,996703,2024000100,2024000008
01/11/2020,3100000,2829661,233569,2596092,2610595,1585397,2024000100,2024000008
01/12/2020,2600000,2936139,14503,2921636,2714754,1506592,2024000100,2024000008
01/01/2021,3000000,1843818,207378,2051196,2029716,1914622,2024000100,2024000008
01/02/2021,1400000,2754674,21480,2776154,2000000,1568530,2024000100,2024000008
01/03/2021,1600000,2603045,776154,3379199,2000000,1492472,2024000100,2024000008
01/04/2021,2800000,2302299,1379199,3681498,2239648,969022,2024000100,2024000008
01/05/2021,3000000,2807200,1441850,4249050,3459460,2124578,2024000100,2024000008
01/06/2021,2000000,1998534,789590,2788124,2469251,2249945,2024000100,2024000008
01/07/2021,2600000,2811611,318873,3130484,2147208,2011036,2024000100,2024000008
01/08/2021,2200000,2319538,983276,3302814,1261243,2327799,2024000100,2024000008
01/09/2021,2200000,3021626,2041571,5063197,3199482,1782781,2024000100,2024000008
01/10/2021,3300000,2562599,1863715,4426314,1607180,1744462,2024000100,2024000008
01/11/2021,3200000,3054791,2819134,5873925,4461818,1604711,2024000100,2024000008
01/12/2021,3300000,2291619,1412107,3703726,3272221,887409,2024000100,2024000008
