createdAt,committedVolume,actualProduction,begInventory,totalStock,soldAmount,unsold,consumerId,producerId
01/01/2016,3300000,2755800,2183500,4939300,1896308,3042992,2024000100,2024000009
01/02/2016,3300000,2879600,3042992,5922592,2967937,2954655,2024000100,2024000009
01/03/2016,3300000,3290000,2954655,6244655,4425410,1819245,2024000100,2024000009
01/04/2016,3200000,3196400,1819245,5015645,3622131.765,1393513.235,2024000100,2024000009
01/05/2016,3200000,3345800,1393513.235,4739313.235,3412744.91,1326568.325,2024000100,2024000009
01/06/2016,3200000,3229100,1326568.325,4555668.325,3529897,1025771.325,2024000100,2024000009
01/07/2016,3100000,3383100,1025771.325,4408871.325,3052793.97,1356077.356,2024000100,2024000009
01/08/2016,3100000,3391000,1356077.356,4747077.356,3491765.856,1255311.5,2024000100,2024000009
01/09/2016,3000000,3367500,1255311.5,4622811.5,3508843.683,1113967.817,2024000100,2024000009
01/10/2016,3100000,3273000,1113967.817,4386967.817,2149969.362,2236998.455,2024000100,2024000009
01/11/2016,3100000,3114800,2236998.455,5351798.455,3489618.193,1862180.263,2024000100,2024000009
01/12/2016,3000000,3194600,1862180.263,5056780.263,3087782.877,1968997.386,2024000100,2024000009
01/01/2017,3300000,3234000,1968997.386,5202997.386,3431818.182,1771179.204,2024000100,2024000009
01/02/2017,3100000,2998500,1771179.204,4769679.204,3377451.009,1392228.195,2024000100,2024000009
01/03/2017,3300000,2128600,1392228.195,3520828.195,2355882.352,1164945.843,2024000100,2024000009
01/04/2017,3200000,1912000,1164945.843,3076945.843,1033333.333,2043612.51,2024000100,2024000009
01/05/2017,3200000,2399300,2043612.51,4442912.51,2519607.843,1923304.667,2024000100,2024000009
01/06/2017,3200000,1825700,1923304.667,3749004.667,2133921.568,1615083.099,2024000100,2024000009
01/07/2017,3200000,2364300,1615083.099,3979383.099,1843950,2135433.099,2024000100,2024000009
01/08/2017,3200000,2815400,2135433.099,4950833.099,3429701,1521132.099,2024000100,2024000009
